"","expenditure_category","subcategory","category","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"1734","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2012,264,226.596,360.671609384102,FALSE
"1735","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2012,206,226.596,281.433149746686,FALSE
"1736","General Government","Bronx Community Board #1","Bronx Community Board #1",2012,255,226.596,348.375986336917,FALSE
"1737","General Government","Bronx Community Board #2","Bronx Community Board #2",2012,244,226.596,333.348002612579,FALSE
"1738","General Government","Bronx Community Board #3","Bronx Community Board #3",2012,250,226.596,341.545084644036,FALSE
"1739","General Government","Bronx Community Board #4","Bronx Community Board #4",2012,207,226.596,282.799330085262,FALSE
"1740","General Government","Bronx Community Board #5","Bronx Community Board #5",2012,207,226.596,282.799330085262,FALSE
"1741","General Government","Bronx Community Board #6","Bronx Community Board #6",2012,203,226.596,277.334608730957,FALSE
"1742","General Government","Bronx Community Board #7","Bronx Community Board #7",2012,258,226.596,352.474527352645,FALSE
"1743","General Government","Bronx Community Board #8","Bronx Community Board #8",2012,254,226.596,347.009805998341,FALSE
"1744","General Government","Bronx Community Board #9","Bronx Community Board #9",2012,225,226.596,307.390576179632,FALSE
"1745","General Government","Bronx Community Board #10","Bronx Community Board #10",2012,269,226.596,367.502511076983,FALSE
"1746","General Government","Bronx Community Board #11","Bronx Community Board #11",2012,245,226.596,334.714182951155,FALSE
"1747","General Government","Bronx Community Board #12","Bronx Community Board #12",2012,207,226.596,282.799330085262,FALSE
"1748","General Government","Queens Community Board #1","Queens Community Board #1",2012,174,226.596,237.715378912249,FALSE
"1749","General Government","Queens Community Board #2","Queens Community Board #2",2012,266,226.596,363.403970061254,FALSE
"1750","General Government","Queens Community Board #3","Queens Community Board #3",2012,259,226.596,353.840707691221,FALSE
"1751","General Government","Queens Community Board #4","Queens Community Board #4",2012,244,226.596,333.348002612579,FALSE
"1752","General Government","Queens Community Board #5","Queens Community Board #5",2012,238,226.596,325.150920581122,FALSE
"1753","General Government","Queens Community Board #6","Queens Community Board #6",2012,243,226.596,331.981822274003,FALSE
"1754","General Government","Queens Community Board #7","Queens Community Board #7",2012,275,226.596,375.69959310844,FALSE
"1755","General Government","Queens Community Board #8","Queens Community Board #8",2012,272,226.596,371.601052092711,FALSE
"1756","General Government","Queens Community Board #9","Queens Community Board #9",2012,206,226.596,281.433149746686,FALSE
"1757","General Government","Queens Community Board #10","Queens Community Board #10",2012,242,226.596,330.615641935427,FALSE
"1758","General Government","Queens Community Board #11","Queens Community Board #11",2012,255,226.596,348.375986336917,FALSE
"1759","General Government","Queens Community Board #12","Queens Community Board #12",2012,220,226.596,300.559674486752,FALSE
"1760","General Government","Queens Community Board #13","Queens Community Board #13",2012,247,226.596,337.446543628308,FALSE
"1761","General Government","Queens Community Board #14","Queens Community Board #14",2012,227,226.596,310.122936856785,FALSE
"1762","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2012,273,226.596,372.967232431287,FALSE
"1763","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2012,240,226.596,327.883281258275,FALSE
"1764","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2012,215,226.596,293.728772793871,FALSE
"1765","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2012,256,226.596,349.742166675493,FALSE
"1766","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2012,204,226.596,278.700789069533,FALSE
"1767","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2012,201,226.596,274.602248053805,FALSE
"1768","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2012,206,226.596,281.433149746686,FALSE
"1769","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2012,247,226.596,337.446543628308,FALSE
"1770","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2012,181,226.596,247.278641282282,FALSE
"1771","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2012,271,226.596,370.234871754135,FALSE
"1772","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2012,231,226.596,315.587658211089,FALSE
"1773","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2012,265,226.596,362.037789722678,FALSE
"1774","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2012,244,226.596,333.348002612579,FALSE
"1775","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2012,275,226.596,375.69959310844,FALSE
"1776","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2012,171,226.596,233.616837896521,FALSE
"1777","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2012,247,226.596,337.446543628308,FALSE
"1778","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2012,282,226.596,385.262855478473,FALSE
"1779","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2012,205,226.596,280.06696940811,FALSE
"1780","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2012,240,226.596,327.883281258275,FALSE
"1781","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2012,207,226.596,282.799330085262,FALSE
"1782","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2012,258,226.596,352.474527352645,FALSE
"1783","General Government","Department of Small Business Services","Department of Small Business Services",2012,132976,226.596,181669.196702501,TRUE
"1784","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2012,30433,226.596,41576.9662438878,FALSE
"1785","General Government","Business Integrity Commission","Business Integrity Commission",2012,6764,226.596,9240.84381012904,FALSE
"1786","General Government","Department of Finance","Department of Finance",2012,214069,226.596,292456.858898657,FALSE
"1787","General Government","Department of Design and Construction","Department of Design and Construction",2012,20334,226.596,27779.9110046073,FALSE
"1788","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2012,356873,226.596,487552.875968684,FALSE
"1789","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2012,283237,226.596,386952.820557291,FALSE
"1790","General Government","Department of Records and Information Services","Department of Records and Information Services",2012,4882,226.596,6669.69241292874,FALSE
"1791","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2012,24088,226.596,32908.5519956222,FALSE
"1792","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2012,NA,226.596,NA,FALSE
"1793","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2012,23298,226.596,31829.269528147,FALSE
"1794","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2012,8739,226.596,11939.0499788169,FALSE
"1795","Public Safety and Judicial","Police Department","Police Department",2012,4631506,226.596,6327472.43519744,FALSE
"1796","Public Safety and Judicial","Fire Department","Fire Department",2012,1753049,226.596,2394981.07636057,FALSE
"1797","Public Safety and Judicial","Department of Correction","Department of Correction",2012,1073738,226.596,1466919.74438207,FALSE
"1798","Public Safety and Judicial","Board of Correction","Board of Correction",2012,900,226.596,1229.56230471853,FALSE
"1799","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2012,-216,226.596,-295.094953132447,FALSE
"1800","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2012,31702,226.596,43310.6490935409,FALSE
"1801","Public Safety and Judicial","Department of Probation","Department of Probation",2012,73553,226.596,100486.662443291,FALSE
"1802","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2012,104095,226.596,142212.542344084,FALSE
"1803","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2012,49211,226.596,67231.1006416706,FALSE
"1804","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2012,86317,226.596,117924.588284877,FALSE
"1805","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2012,49320,226.596,67380.0142985754,FALSE
"1806","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2012,8690,226.596,11872.1071422267,FALSE
"1807","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2012,17830,226.596,24358.9954368127,FALSE
"1808","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2012,1184,226.596,1617.55752087415,FALSE
"1809","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2012,481,226.596,657.132742855125,FALSE
"1810","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2012,472,226.596,644.83711980794,FALSE
"1811","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2012,421,226.596,575.161922540557,FALSE
"1812","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2012,376,226.596,513.68380730463,FALSE
"1813","Public Safety and Judicial","Miscellaneous-Contributions Legal Aid","Miscellaneous-Contributions Legal Aid",2012,242063,226.596,330701.711296757,FALSE
"1814","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2012,46962,226.596,64158.5610602129,FALSE
