"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"700","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2019,364000,253.2685,444918.511382189,FALSE
"701","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2019,284000,253.2685,347134.223166324,FALSE
"702","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2019,311000,253.2685,380136.420439178,FALSE
"703","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2019,192000,253.2685,234682.291718078,FALSE
"704","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2019,348000,253.2685,425361.653739016,FALSE
"705","General Government","Department of Small Business Services","Department of Small Business Services",2019,211452000,253.2685,258458541.397766,TRUE
"706","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2019,47079000,253.2685,57544831.3114343,FALSE
"707","General Government","Business Integrity Commission","Business Integrity Commission",2019,8769000,253.2685,10718380.2920616,FALSE
"708","General Government","Department of Finance","Department of Finance",2019,292333000,253.2685,357319679.087609,FALSE
"709","General Government","Department of Design and Construction","Department of Design and Construction",2019,145538000,253.2685,177891621.729508,FALSE
"710","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2019,477144000,253.2685,583214830.205888,FALSE
"711","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2019,467280000,253.2685,571158027.468872,FALSE
"712","General Government","Department of Records and Information Services","Department of Records and Information Services",2019,9575000,253.2685,11703556.9958364,FALSE
"713","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2019,40291000,253.2685,49247834.4563181,FALSE
"714","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2019,NA,253.2685,NA,FALSE
"715","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2019,58066000,253.2685,70974280.9942808,FALSE
"716","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2019,18409000,253.2685,22501387.0220734,FALSE
"717","Public Safety and Judicial","Police Department","Police Department",2019,5668823000,253.2685,6929022775.95911,FALSE
"718","Public Safety and Judicial","Fire Department","Fire Department",2019,2107344000,253.2685,2575814163.32469,FALSE
"719","Public Safety and Judicial","Department of Correction","Department of Correction",2019,1350148000,253.2685,1650290764.57593,FALSE
"720","Public Safety and Judicial","Board of Correction","Board of Correction",2019,2594000,253.2685,3170655.54539945,FALSE
"721","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2019,NA,253.2685,NA,FALSE
"722","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2019,47886000,253.2685,58531230.3188119,FALSE
"723","Public Safety and Judicial","Department of Probation","Department of Probation",2019,102575000,253.2685,125377792.04678,FALSE
"724","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2019,117917000,253.2685,144130373.919378,FALSE
"725","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2019,82420000,253.2685,100742262.934396,FALSE
"726","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2019,110501000,253.2685,135065770.401767,FALSE
"727","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2019,69748000,253.2685,85253231.6810026,FALSE
"728","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2019,16787000,253.2685,20518810.5784967,FALSE
"729","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2019,22984000,253.2685,28093426.0044182,FALSE
"730","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2019,2601000,253.2685,3179211.67061834,FALSE
"731","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2019,685000,253.2685,837277.967848351,FALSE
"732","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2019,889000,253.2685,1086627.90279881,FALSE
"733","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2019,578000,253.2685,706491.48235963,FALSE
"734","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2019,621000,253.2685,759050.537275658,FALSE
"735","Public Safety and Judicial","Miscellaneous-Contributions Legal Aid","Miscellaneous-Contributions Legal Aid",2019,335657000,253.2685,410274760.370911,FALSE
"736","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2019,169119000,253.2685,206714762.984738,FALSE
"737","Public Safety and Judicial","Miscellaneous-Other","Miscellaneous-Other",2019,71697000,253.2685,87635501.4026616,FALSE
"738","Education","Department of Education","Department of Education",2019,26905467000,253.2685,32886649246.3808,FALSE
"739","City University","City University of New York-Community Colleges","City University of New York-Community Colleges",2019,1092299000,253.2685,1335121002.92377,FALSE
"740","City University","Hunter Campus Schools","Hunter Campus Schools",2019,21819000,253.2685,26669442.3072747,FALSE
"741","City University","Educational Aid","Educational Aid",2019,NA,253.2685,NA,FALSE
"742","Social Services","Administration for Children's Services","Administration for Children's Services",2019,3079745000,253.2685,3764383408.89214,TRUE
"743","Social Services","Department of Social Services","Department of Social Services",2019,10188335000,253.2685,12453238575.9974,TRUE
"744","Social Services","Department of Homeless Services","Department of Homeless Services",2019,2182752000,253.2685,2667985633.39697,TRUE
"745","Social Services","Department for the Aging","Department for the Aging",2019,381914000,253.2685,466814858.120927,TRUE
"746","Environmental Protection","Department of Environmental Protection","Department of Environmental Protection",2019,1346282000,253.2685,1645565338.8479,FALSE
"747","Environmental Protection","Department of Sanitation","Department of Sanitation",2019,1741457000,253.2685,2128589165.04421,FALSE
"748","Transportation Services","Department of Transportation","Department of Transportation",2019,768961000,253.2685,939903800.634505,FALSE
"749","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2019,1298892000,253.2685,1587640371.11603,FALSE
"750","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2019,21000,253.2685,25668.3756566648,FALSE
"751","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2019,198855000,253.2685,243061182.914575,FALSE
"752","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2019,447625000,253.2685,547133650.157836,FALSE
"753","Housing","Housing Preservation and Development","Housing Preservation and Development",2019,1057105000,253.2685,1292103249.93041,TRUE
"754","Housing","Department of Buildings","Department of Buildings",2019,171768000,253.2685,209952645.228285,FALSE
"755","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2019,1448000,253.2685,1769895.61670717,TRUE
"756","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2019,1747449000,253.2685,2135913208.23158,TRUE
"757","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2019,908909000,253.2685,1110962745.22493,FALSE
"758","Libraries","New York Research Libraries","New York Research Libraries",2019,28458000,253.2685,34784315.9255889,FALSE
"759","Libraries","New York Public Library","New York Public Library",2019,145511000,253.2685,177858619.532236,FALSE
"760","Libraries","Brooklyn Public Library","Brooklyn Public Library",2019,109823000,253.2685,134237048.559138,FALSE
"761","Libraries","Queens Borough Public Library","Queens Borough Public Library",2019,114204000,253.2685,139591960.642559,FALSE
"762","Pensions","Pension Contributions","Pension Contributions",2019,9828626000,253.2685,12013564969.3744,FALSE
"763","Judgments and Claims","Judgments and Claims","Judgments and Claims",2019,705751000,253.2685,862641989.907944,FALSE
"764","Benefit Payments","Benefit Payments","Benefit Payments",2019,5742655000,253.2685,7019267895.55353,FALSE
"765","Lease Payments","Lease Payments","Lease Payments",2019,96489000,253.2685,117938852.320758,FALSE
"766","Other","Miscellaneous","Miscellaneous",2019,651012000,253.2685,795734312.99984,FALSE
"767","Transfers","General Debt Service Fund","Debt Service",2019,3513236000,253.2685,4294241019.92944,FALSE
"768","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2019,NA,253.2685,NA,FALSE
"769","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2019,744410000,253.2685,909895024.884658,FALSE
"770","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2019,2763408000,253.2685,3377723554.12537,FALSE
"771","General Government","Mayoralty","Mayoralty",2018,112523000,248.126,140387777.310721,FALSE
"772","General Government","Board of Elections","Board of Elections",2018,129285000,248.126,161300656.662341,FALSE
"773","General Government","Campaign Finance Board","Campaign Finance Board",2018,32989000,248.126,41158273.2926013,FALSE
"774","General Government","Office of the Actuary","Office of the Actuary",2018,7114000,248.126,8875684.50706496,FALSE
"775","General Government","Borough President-Manhattan","Borough President-Manhattan",2018,4801000,248.126,5989901.78780136,FALSE
"776","General Government","Borough President-Bronx","Borough President-Bronx",2018,4902000,248.126,6115913.05223959,FALSE
"777","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2018,6242000,248.126,7787745.66953886,FALSE
